iter	Passed	Remaining
719	1260	490
720	1262	488
721	1263	486
722	1264	484
723	1266	482
724	1267	480
725	1268	478
726	1269	476
727	1271	474
728	1272	473
729	1273	471
730	1275	469
731	1276	467
732	1278	465
733	1280	463
734	1281	461
735	1282	460
736	1283	458
737	1285	456
738	1288	454
739	1291	453
740	1293	452
741	1294	450
742	1296	448
743	1298	446
744	1303	446
745	1305	444
746	1308	443
747	1309	441
748	1311	439
749	1312	437
750	1315	436
751	1316	434
752	1318	432
753	1319	430
754	1321	428
755	1323	427
756	1324	425
757	1327	423
758	1328	421
759	1330	420
760	1331	418
761	1332	416
762	1334	414
763	1335	412
764	1336	410
765	1338	408
766	1339	406
767	1341	405
768	1342	403
769	1343	401
770	1345	399
771	1346	397
772	1347	395
773	1349	393
774	1350	392
775	1352	390
776	1353	388
777	1355	386
778	1356	384
779	1357	383
780	1359	381
781	1360	379
782	1361	377
783	1363	375
784	1364	373
785	1366	372
786	1368	370
787	1369	368
788	1370	366
789	1372	364
790	1373	362
791	1375	361
792	1376	359
793	1378	357
794	1379	355
795	1380	353
796	1381	351
797	1383	350
798	1384	348
799	1385	346
800	1387	344
801	1388	342
802	1389	340
803	1390	339
804	1392	337
805	1393	335
806	1394	333
807	1396	331
808	1398	330
809	1399	328
810	1400	326
811	1401	324
812	1403	322
813	1404	320
814	1405	319
815	1407	317
816	1408	315
817	1411	314
818	1413	312
819	1414	310
820	1415	308
821	1417	306
822	1418	305
823	1419	303
824	1420	301
825	1422	299
826	1423	297
827	1424	295
828	1426	294
829	1427	292
830	1428	290
831	1430	288
832	1431	286
833	1432	285
834	1433	283
835	1435	281
836	1436	279
837	1437	277
838	1439	276
839	1440	274
840	1441	272
841	1442	270
842	1444	268
843	1445	267
844	1446	265
845	1448	263
846	1449	261
847	1450	260
848	1451	258
849	1453	256
850	1454	254
851	1455	252
852	1457	251
853	1458	249
854	1462	247
855	1463	246
856	1465	244
857	1466	242
858	1469	241
859	1470	239
860	1471	237
861	1473	235
862	1475	234
863	1476	232
864	1478	230
865	1479	228
866	1480	227
867	1482	225
868	1484	223
869	1486	222
870	1487	220
871	1489	218
872	1490	216
873	1491	215
874	1494	213
875	1495	211
876	1497	209
877	1498	208
878	1500	206
879	1503	204
880	1504	203
881	1508	201
882	1509	200
883	1510	198
884	1512	196
885	1513	194
886	1515	193
887	1517	191
888	1518	189
889	1520	187
890	1521	186
891	1523	184
892	1526	182
893	1528	181
894	1534	180
895	1537	178
896	1539	176
897	1541	175
898	1546	173
899	1548	172
900	1549	170
901	1551	168
902	1552	166
903	1553	165
904	1555	163
905	1560	161
906	1562	160
907	1563	158
908	1565	156
909	1567	155
910	1569	153
911	1572	151
912	1574	150
913	1578	148
914	1580	146
915	1581	145
916	1584	143
917	1588	141
918	1590	140
919	1592	138
920	1595	136
921	1597	135
922	1598	133
923	1599	131
924	1603	130
925	1605	128
926	1606	126
927	1611	125
928	1614	123
929	1621	122
930	1626	120
931	1628	118
932	1629	117
933	1631	115
934	1633	113
935	1635	111
936	1638	110
937	1641	108
938	1642	106
939	1644	104
940	1652	103
941	1658	102
942	1660	100
943	1661	98
944	1662	96
945	1664	95
946	1666	93
947	1667	91
948	1671	89
949	1674	88
950	1675	86
951	1676	84
952	1678	82
953	1679	80
954	1680	79
955	1686	77
956	1688	75
957	1690	74
958	1693	72
959	1695	70
960	1696	68
961	1697	67
962	1699	65
963	1701	63
964	1704	61
965	1707	60
966	1708	58
967	1710	56
968	1711	54
969	1713	52
970	1714	51
971	1715	49
972	1717	47
973	1718	45
974	1720	44
975	1721	42
976	1723	40
977	1724	38
978	1725	37
979	1727	35
980	1728	33
981	1729	31
982	1731	29
983	1732	28
984	1733	26
985	1735	24
986	1736	22
987	1737	21
988	1739	19
989	1740	17
990	1742	15
991	1743	14
992	1744	12
993	1745	10
994	1747	8
995	1748	7
996	1749	5
997	1751	3
998	1752	1
999	1754	0
